iter	Passed	Remaining
0	0	186
1	1	165
2	1	158
3	2	153
4	2	165
5	3	166
6	3	162
7	4	157
8	4	154
9	5	153
10	5	154
11	6	153
12	6	150
13	7	151
14	8	155
15	8	154
16	9	156
17	9	153
18	10	151
19	10	152
20	11	151
21	11	149
22	12	148
23	12	147
24	13	145
25	13	147
26	14	146
27	15	146
28	15	145
29	16	149
30	17	148
31	17	146
32	18	146
33	18	146
34	19	147
35	19	145
36	20	144
37	20	143
38	21	141
39	21	142
40	22	142
41	23	143
42	23	142
43	24	141
44	24	140
45	25	139
46	25	138
47	26	136
48	26	135
49	27	136
50	27	135
51	28	134
52	28	133
53	29	132
54	29	131
55	29	130
56	30	130
57	31	130
58	31	129
59	32	128
60	32	127
61	33	126
62	33	126
63	34	125
64	34	124
65	35	124
66	35	124
67	36	123
68	36	122
69	37	122
70	37	121
71	38	121
72	38	121
73	39	120
74	39	119
75	40	118
76	40	118
77	41	117
78	41	116
79	42	116
80	42	115
81	43	115
82	43	114
83	44	113
84	44	113
85	45	112
86	45	111
87	46	111
88	46	110
89	47	110
90	47	109
91	48	109
92	48	108
93	49	108
94	49	107
95	50	106
96	50	106
97	51	105
98	51	105
99	52	104
100	52	103
101	53	103
102	53	102
103	54	101
104	54	101
105	55	101
106	55	100
107	56	99
108	56	99
109	56	98
110	57	97
111	57	97
112	58	96
113	58	95
114	59	95
115	59	94
116	60	94
117	60	93
118	61	93
119	61	92
120	62	91
121	62	91
122	63	91
123	64	90
124	64	90
125	64	89
126	65	89
127	65	88
128	66	87
129	66	87
130	67	86
131	67	86
132	68	85
133	68	85
134	69	84
135	69	84
136	70	83
137	70	82
138	71	82
139	71	82
140	72	81
141	72	81
142	73	80
143	73	79
144	74	79
145	74	78
146	75	78
147	75	77
148	76	77
149	76	76
150	77	76
151	77	75
152	78	75
153	78	74
154	79	74
155	79	73
156	80	73
157	80	72
158	81	72
159	81	71
160	82	70
161	82	70
162	83	69
163	83	69
164	84	68
165	84	68
166	85	67
167	85	67
168	86	66
169	86	66
170	87	66
171	88	65
172	88	65
173	89	64
174	89	64
175	90	63
176	90	63
177	91	62
178	92	62
179	92	61
180	93	61
181	93	60
182	93	60
183	94	59
184	94	58
185	95	58
186	96	58
187	96	57
188	97	56
189	97	56
190	97	55
191	98	55
192	99	55
193	99	54
194	100	54
195	100	53
196	101	53
197	101	52
198	102	51
199	102	51
200	103	50
201	104	50
202	104	49
203	104	49
204	105	48
205	106	48
206	106	47
207	107	47
208	107	46
209	108	46
210	109	45
211	109	45
212	109	44
213	110	44
214	111	43
215	111	43
216	112	42
217	113	42
218	113	42
219	114	41
220	114	41
221	115	40
222	115	39
223	116	39
224	117	39
225	117	38
226	118	38
227	118	37
228	119	37
229	120	36
230	120	36
231	121	35
232	121	35
233	122	34
234	123	34
235	123	33
236	124	33
237	125	32
238	125	32
239	126	31
240	126	31
241	127	30
242	128	30
243	128	29
244	129	29
245	129	28
246	130	27
247	130	27
248	131	26
249	131	26
250	132	25
251	133	25
252	133	24
253	134	24
254	134	23
255	134	23
256	135	22
257	136	22
258	136	21
259	137	21
260	138	20
261	138	20
262	139	19
263	139	19
264	140	18
265	141	18
266	141	17
267	142	16
268	142	16
269	143	15
270	144	15
271	144	14
272	145	14
273	145	13
274	146	13
275	146	12
276	147	12
277	147	11
278	148	11
279	149	10
280	149	10
281	150	9
282	150	9
283	151	8
284	151	7
285	152	7
286	153	6
287	153	6
288	154	5
289	154	5
290	155	4
291	155	4
292	156	3
293	156	3
294	157	2
295	157	2
296	158	1
297	158	1
298	159	0
299	160	0
